0,45,15,60
-15,45,0,60
15,45,30,60
0,30,15,45
0,60,15,75
-15,60,0,75
15,60,30,75
-30,45,-15,60
-15,30,0,45
-30,60,-15,75
30,45,45,60
30,60,45,75
15,30,30,45
-45,60,-30,75
45,60,60,75
-45,45,-30,60
-30,30,-15,45
-60,60,-45,75
60,60,75,75
45,45,60,60
30,30,45,45
0,15,15,30
0,75,15,90
-15,75,0,90
15,75,30,90
-30,75,-15,90
30,75,45,90
-45,75,-30,90
45,75,60,90
-60,75,-45,90
60,75,75,90
-75,60,-60,75
-75,75,-60,90
-15,15,0,30
75,75,90,90
-90,75,-75,90
90,75,105,90
-105,75,-90,90
75,60,90,75
105,75,120,90
15,15,30,30
-120,75,-105,90
120,75,135,90
-135,75,-120,90
-60,45,-45,60
135,75,150,90
-150,75,-135,90
150,75,165,90
-90,60,-75,75
-45,30,-30,45
-165,75,-150,90
165,75,180,90
60,45,75,60
-180,75,-165,90
90,60,105,75
-30,15,-15,30
45,30,60,45
30,15,45,30
-105,60,-90,75
105,60,120,75
-75,45,-60,60
0,0,15,15
-15,0,0,15
75,45,90,60
-120,60,-105,75
15,0,30,15
-60,30,-45,45
120,60,135,75
-45,15,-30,30
60,30,75,45
-30,0,-15,15
45,15,60,30
-135,60,-120,75
-90,45,-75,60
135,60,150,75
30,0,45,15
90,45,105,60
-150,60,-135,75
-75,30,-60,45
0,-15,15,0
150,60,165,75
-15,-15,0,0
-60,15,-45,30
-45,0,-30,15
15,-15,30,0
-105,45,-90,60
75,30,90,45
-165,60,-150,75
60,15,75,30
45,0,60,15
105,45,120,60
-30,-15,-15,0
165,60,180,75
30,-15,45,0
-180,60,-165,75
-90,30,-75,45
-120,45,-105,60
-60,0,-45,15
-45,-15,-30,0
-75,15,-60,30
120,45,135,60
90,30,105,45
0,-30,15,-15
-15,-30,0,-15
45,-15,60,0
60,0,75,15
15,-30,30,-15
75,15,90,30
-30,-30,-15,-15
30,-30,45,-15
-135,45,-120,60
-60,-15,-45,0
-105,30,-90,45
135,45,150,60
-45,-30,-30,-15
-75,0,-60,15
60,-15,75,0
-90,15,-75,30
105,30,120,45
45,-30,60,-15
75,0,90,15
0,-45,15,-30
-150,45,-135,60
-15,-45,0,-30
90,15,105,30
15,-45,30,-30
-60,-30,-45,-15
-30,-45,-15,-30
150,45,165,60
30,-45,45,-30
-75,-15,-60,0
60,-30,75,-15
-120,30,-105,45
-45,-45,-30,-30
75,-15,90,0
45,-45,60,-30
-90,0,-75,15
120,30,135,45
-165,45,-150,60
-105,15,-90,30
-75,-30,-60,-15
-60,-45,-45,-30
90,0,105,15
165,45,180,60
60,-45,75,-30
75,-30,90,-15
105,15,120,30
0,-60,15,-45
-15,-60,0,-45
15,-60,30,-45
-90,-15,-75,0
-30,-60,-15,-45
-135,30,-120,45
30,-60,45,-45
-75,-45,-60,-30
-45,-60,-30,-45
-180,45,-165,60
45,-60,60,-45
75,-45,90,-30
90,-15,105,0
135,30,150,45
-90,-30,-75,-15
-60,-60,-45,-45
-105,0,-90,15
60,-60,75,-45
-120,15,-105,30
90,-30,105,-15
-90,-45,-75,-30
-75,-60,-60,-45
75,-60,90,-45
105,0,120,15
90,-45,105,-30
120,15,135,30
-90,-60,-75,-45
-105,-15,-90,0
-150,30,-135,45
90,-60,105,-45
0,-75,15,-60
-15,-75,0,-60
15,-75,30,-60
-30,-75,-15,-60
30,-75,45,-60
-105,-30,-90,-15
-45,-75,-30,-60
45,-75,60,-60
-105,-45,-90,-30
150,30,165,45
-60,-75,-45,-60
-105,-60,-90,-45
105,-15,120,0
60,-75,75,-60
-75,-75,-60,-60
75,-75,90,-60
105,-60,120,-45
105,-45,120,-30
105,-30,120,-15
-90,-75,-75,-60
90,-75,105,-60
-120,0,-105,15
-105,-75,-90,-60
-135,15,-120,30
105,-75,120,-60
-120,-60,-105,-45
-120,-75,-105,-60
120,-60,135,-45
120,-75,135,-60
120,0,135,15
-120,-45,-105,-30
-165,30,-150,45
-135,-75,-120,-60
135,15,150,30
135,-75,150,-60
-120,-15,-105,0
-120,-30,-105,-15
120,-45,135,-30
-135,-60,-120,-45
-150,-75,-135,-60
150,-75,165,-60
165,30,180,45
135,-60,150,-45
0,-90,15,-75
-15,-90,0,-75
15,-90,30,-75
-30,-90,-15,-75
30,-90,45,-75
-45,-90,-30,-75
45,-90,60,-75
-60,-90,-45,-75
-165,-75,-150,-60
60,-90,75,-75
-75,-90,-60,-75
75,-90,90,-75
120,-15,135,0
-90,-90,-75,-75
90,-90,105,-75
-105,-90,-90,-75
105,-90,120,-75
120,-30,135,-15
-120,-90,-105,-75
120,-90,135,-75
165,-75,180,-60
-135,-90,-120,-75
135,-90,150,-75
-150,-90,-135,-75
150,-90,165,-75
-165,-90,-150,-75
165,-90,180,-75
-180,-90,-165,-75
-180,-75,-165,-60
-150,-60,-135,-45
-135,-45,-120,-30
-135,0,-120,15
-150,15,-135,30
150,-60,165,-45
135,-45,150,-30
-180,30,-165,45
135,0,150,15
-135,-30,-120,-15
150,15,165,30
-165,-60,-150,-45
-135,-15,-120,0
165,-60,180,-45
135,-30,150,-15
-150,-45,-135,-30
135,-15,150,0
150,-45,165,-30
-180,-60,-165,-45
-150,0,-135,15
-165,15,-150,30
-150,-30,-135,-15
-165,-45,-150,-30
165,15,180,30
150,0,165,15
-150,-15,-135,0
150,-30,165,-15
165,-45,180,-30
150,-15,165,0
-180,15,-165,30
-180,-45,-165,-30
-165,0,-150,15
-165,-30,-150,-15
165,-30,180,-15
165,0,180,15
-165,-15,-150,0
165,-15,180,0
-180,-30,-165,-15
-180,0,-165,15
-180,-15,-165,0
